﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3zoJxEXLhJloegpeKTCqVX","Kulala","Izem","Hafa","1","6","288453","spotify:user:yaydevally","2016-11-29T12:22:07Z"
"spotify:track:7742wfcDXdRXkuPuonJDDx","Allow","Nocow","Ruins Tape","1","1","152511","spotify:user:yaydevally","2016-11-29T12:22:08Z"
"spotify:track:2POkFNutaln4bp5M7EgUqV","Ocean Beach","Black Mighty Orchestra","So Mambo, Vol. 1","1","3","194466","spotify:user:yaydevally","2016-12-01T09:48:53Z"
"spotify:track:0yYQLWd83u1TSbvRGTopa9","She Ran Around - (Midnight Mix)","The Tao Of Groove","Chill Pill, Vol. 1","1","2","348106","spotify:user:yaydevally","2016-12-04T08:38:02Z"
"spotify:track:1swKNKdml9wbJddAZWgrYD","Your Life","Andras Fox","Your Life","1","1","360413","spotify:user:yaydevally","2016-12-09T13:08:57Z"
"spotify:track:6mTDeTRArFlCzdvXFVHvdF","Survive","Blockboy","Heartbox (EP)","1","2","225400","spotify:user:yaydevally","2016-12-09T13:13:03Z"
"spotify:track:0nM34mZsTWllbrC2NzEsB0","Cigarette Lust","TOKiMONSTA","Proximity One: Narrative of a City","1","4","125580","spotify:user:yaydevally","2016-12-09T13:20:41Z"
"spotify:track:50e8KL7TnyNKLaWfCSr0xf","Blue Avenue","Jazz Liberatorz","Fruit Of The Past","1","20","190078","spotify:user:yaydevally","2016-12-09T13:20:46Z"
"spotify:track:1O48usIC5I1zsUAyPHOD7I","There's A Better Place","Crazy Penis","The Crazy Penis Collection","1","8","435226","spotify:user:yaydevally","2016-12-09T13:27:35Z"
"spotify:track:05j2SIb2Fadj3RnITFB0Uw","Transient","Glen Porter","Blessed By a Young Death","1","2","192360","spotify:user:yaydevally","2016-12-09T13:48:03Z"
"spotify:track:4pF1jNpAdNrj00ZXa15rxU","DR Van Helsing","Hugo Kant","The Point of No Return","1","1","273573","spotify:user:yaydevally","2016-12-09T13:52:57Z"
"spotify:track:5g2NZNHeOmEhYyPQ1CE84l","Reason To feat Kathrin deBoer","Aaron Jerome","Time To Rearrange","1","4","339026","spotify:user:yaydevally","2016-12-12T17:48:35Z"
"spotify:track:62bQXGTXGsxhQnjI2QmhPY","After 4AM","Long Arm","The Branches","1","4","402746","spotify:user:yaydevally","2016-12-12T17:50:53Z"
"spotify:track:4DicdCZ3vgY8fOzCiuQ657","Just for a Day - Sunday","TM Juke","Maps from the Wilderness","1","2","272946","spotify:user:yaydevally","2016-12-12T17:58:34Z"
"spotify:track:7CCqARMdytqZSGIZZ4JOWs","Tell Me How You Feel - Bonobo Mix","Jon Kennedy, Bonobo","One Offs Remixes and B Sides","1","9","304773","spotify:user:yaydevally","2016-12-12T17:59:05Z"
